Gaussian NB,,,,,,
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,51,15,13,19,27,125
Electronic,6,37,21,15,9,88
Hip Hop:Rap,4,29,68,11,7,119
Jazz,15,23,5,66,5,114
Rock,44,16,13,9,72,154
All,120,120,120,120,120,600
,,,,,,
kNearestNeighbors,,,,,,
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,14,3,2,5,7,31
Electronic,20,79,56,37,14,206
Hip Hop:Rap,0,0,0,0,0,0
Jazz,25,14,7,58,14,118
Rock,61,24,55,20,85,245
All,120,120,120,120,120,600
,,,,,,
SVM,,,,,,
Predicted,Country,Electronic,Hip Hop:Rap,Jazz,Rock,All
Country,66,10,7,18,30,131
Electronic,9,52,23,20,11,115
Hip Hop:Rap,4,32,73,10,7,126
Jazz,15,19,5,62,3,104
Rock,26,7,12,10,69,124
All,120,120,120,120,120,600
